09:17:02.235 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
09:17:27.835 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source random refreshed
09:17:27.835 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' refreshed
09:17:27.835 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' refreshed
09:17:27.835 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source devtools refreshed
09:17:27.835 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source class path resource [generator.yml] refreshed
09:17:27.835 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource server.ports [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
09:17:27.835 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
09:17:27.836 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:17:27.836 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
09:17:29.261 [restartedMain] INFO  o.q.c.QuartzScheduler - [start,547] - Scheduler quartzScheduler_$_NON_CLUSTERED started.
09:17:29.273 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 28.153 seconds (JVM running for 37.692)
09:20:30.504 [http-nio-39001-exec-4] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
09:21:03.957 [schedule-pool-1] INFO  sys-user - [run,52] - [172.19.3.84]内网IP[cheny][Success][登录成功]
09:36:49.251 [schedule-pool-2] INFO  sys-user - [run,52] - [172.19.3.84]内网IP[admin][Success][登录成功]
09:39:17.138 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
09:39:17.829 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [shutdown,666] - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
09:39:17.829 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
09:39:17.830 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [shutdown,740] - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
09:39:17.830 [SpringApplicationShutdownHook] INFO  sys-user - [shutdownAsyncManager,28] - ====关闭后台任务任务线程池====
09:39:17.836 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2051] - {dataSource-1} closing ...
09:39:17.862 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2124] - {dataSource-1} closed
09:39:25.643 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_271 on DESKTOP-79UQ3BF with PID 6876 (D:\workspace\jgckServer\ruoyi-admin\target\classes started by Gu in D:\workspace\jgckServer)
09:39:25.657 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "dev"
09:39:25.661 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
09:39:34.303 [restartedMain] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - [postProcessBeanFactory,40] - Post-processing PropertySource instances
09:39:34.304 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
09:39:34.305 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:39:34.306 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:39:34.307 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
09:39:34.308 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
09:39:34.308 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
09:39:34.308 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
09:39:34.309 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
09:39:34.309 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource devtools [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
09:39:34.309 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource class path resource [generator.yml] [org.springframework.core.io.support.ResourcePropertySource] to EncryptableMapPropertySourceWrapper
09:39:34.866 [restartedMain] INFO  c.u.j.f.DefaultLazyPropertyFilter - [lambda$new$2,31] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
09:39:34.879 [restartedMain] INFO  c.u.j.r.DefaultLazyPropertyResolver - [lambda$new$2,35] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
09:39:34.881 [restartedMain] INFO  c.u.j.d.DefaultLazyPropertyDetector - [lambda$new$2,35] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
09:39:35.830 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-39001"]
09:39:35.832 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:39:35.832 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.63]
09:39:36.022 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:39:37.174 [restartedMain] INFO  c.u.j.e.DefaultLazyEncryptor - [lambda$new$2,37] - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
09:39:37.187 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.key-obtention-iterations, using default value: 1000
09:39:37.188 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
09:39:37.188 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
09:39:37.189 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
09:39:37.190 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
09:39:37.193 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
09:39:40.531 [restartedMain] INFO  c.a.d.p.DruidDataSource - [init,972] - {dataSource-1} inited
09:39:43.013 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1220] - Using default implementation for ThreadExecutor
09:39:43.030 [restartedMain] INFO  o.q.c.SchedulerSignalerImpl - [<init>,61] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
09:39:43.030 [restartedMain] INFO  o.q.c.QuartzScheduler - [<init>,229] - Quartz Scheduler v.2.3.2 created.
09:39:43.031 [restartedMain] INFO  o.q.s.RAMJobStore - [initialize,155] - RAMJobStore initialized.
09:39:43.032 [restartedMain] INFO  o.q.c.QuartzScheduler - [initialize,294] - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

09:39:43.033 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1374] - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
09:39:43.033 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1378] - Quartz scheduler version: 2.3.2
09:39:43.033 [restartedMain] INFO  o.q.c.QuartzScheduler - [setJobFactory,2293] - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@5f4cde10
09:39:46.430 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-39001"]
09:39:46.460 [restartedMain] INFO  c.u.j.c.RefreshScopeRefreshedEventListener - [onApplicationEvent,47] - Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
09:39:46.461 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source systemProperties refreshed
09:39:46.461 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source systemEnvironment refreshed
09:39:46.461 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source random refreshed
09:39:46.461 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' refreshed
09:39:46.461 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' refreshed
09:39:46.462 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source devtools refreshed
09:39:46.462 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - [refresh,55] - Property Source class path resource [generator.yml] refreshed
09:39:46.462 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource server.ports [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
09:39:46.462 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
09:39:46.462 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:39:46.463 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
09:39:47.788 [restartedMain] INFO  o.q.c.QuartzScheduler - [start,547] - Scheduler quartzScheduler_$_NON_CLUSTERED started.
09:39:47.800 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 22.791 seconds (JVM running for 24.875)
09:39:52.748 [http-nio-39001-exec-2] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
09:43:17.503 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
09:43:18.460 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [shutdown,666] - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
09:43:18.460 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
09:43:18.461 [SpringApplicationShutdownHook] INFO  o.q.c.QuartzScheduler - [shutdown,740] - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
09:43:18.461 [SpringApplicationShutdownHook] INFO  sys-user - [shutdownAsyncManager,28] - ====关闭后台任务任务线程池====
09:43:18.469 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2051] - {dataSource-1} closing ...
09:43:18.478 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2124] - {dataSource-1} closed
09:43:27.454 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_271 on DESKTOP-79UQ3BF with PID 6020 (D:\workspace\jgckServer\ruoyi-admin\target\classes started by Gu in D:\workspace\jgckServer)
09:43:27.469 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "dev"
09:43:27.471 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
09:43:30.839 [restartedMain] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - [postProcessBeanFactory,40] - Post-processing PropertySource instances
09:43:30.840 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
09:43:30.842 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:43:30.842 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,76] - Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
09:43:30.844 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
09:43:30.845 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
09:43:30.847 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
09:43:30.847 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
09:43:30.847 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
09:43:30.847 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource devtools [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
09:43:30.848 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,81] - Converting PropertySource class path resource [generator.yml] [org.springframework.core.io.support.ResourcePropertySource] to EncryptableMapPropertySourceWrapper
09:43:31.484 [restartedMain] INFO  c.u.j.f.DefaultLazyPropertyFilter - [lambda$new$2,31] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
09:43:31.499 [restartedMain] INFO  c.u.j.r.DefaultLazyPropertyResolver - [lambda$new$2,35] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
09:43:31.503 [restartedMain] INFO  c.u.j.d.DefaultLazyPropertyDetector - [lambda$new$2,35] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
09:43:32.334 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-39001"]
09:43:32.336 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:43:32.337 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.63]
09:43:32.587 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:43:33.733 [restartedMain] INFO  c.u.j.e.DefaultLazyEncryptor - [lambda$new$2,37] - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
09:43:33.747 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.key-obtention-iterations, using default value: 1000
09:43:33.747 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
09:43:33.748 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
09:43:33.749 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
09:43:33.749 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
09:43:33.753 [restartedMain] INFO  c.u.j.c.StringEncryptorBuilder - [get,102] - Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
09:43:36.357 [restartedMain] INFO  c.a.d.p.DruidDataSource - [init,972] - {dataSource-1} inited
09:43:38.737 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1220] - Using default implementation for ThreadExecutor
09:43:38.754 [restartedMain] INFO  o.q.c.SchedulerSignalerImpl - [<init>,61] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
09:43:38.754 [restartedMain] INFO  o.q.c.QuartzScheduler - [<init>,229] - Quartz Scheduler v.2.3.2 created.
09:43:38.755 [restartedMain] INFO  o.q.s.RAMJobStore - [initialize,155] - RAMJobStore initialized.
09:43:38.757 [restartedMain] INFO  o.q.c.QuartzScheduler - [initialize,294] - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

09:43:38.757 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1374] - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
09:43:38.757 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1378] - Quartz scheduler version: 2.3.2
